graph6,source,n,degree,expected_i,ilp_i,i_set,expected_mu,ilp_mu,mu_matching,independent,dominates,matching_ok,maximal,agree
A_,geng_n_le_9,2,1,1,1,0,1,1,0-1,1,1,1,1,1
Bw,geng_n_le_9,3,2,1,1,0,1,1,0-1,1,1,1,1,1
C],geng_n_le_9,4,2,2,2,0;1,2,2,0-2;1-3,1,1,1,1,1
Cr,structured_families_n_le_18,4,2,2,2,0;3,2,2,0-1;2-3,1,1,1,1,1
C~,geng_n_le_9,4,3,1,1,0,2,2,0-1;2-3,1,1,1,1,1
DUW,geng_n_le_9,5,2,2,2,0;4,2,2,0-2;1-3,1,1,1,1,1
D~{,geng_n_le_9,5,4,1,1,0,2,2,0-3;1-2,1,1,1,1,1
EEh_,geng_n_le_9,6,2,2,2,0;5,2,2,0-3;2-5,1,1,1,1,1
EFz_,geng_n_le_9,6,3,3,3,0;1;2,3,3,0-3;1-4;2-5,1,1,1,1,1
EUxo,geng_n_le_9,6,3,2,2,0;5,2,2,0-4;3-5,1,1,1,1,1
E]~o,geng_n_le_9,6,4,2,2,0;1,2,2,0-3;1-2,1,1,1,1,1
Erow,structured_families_n_le_18,6,3,2,2,2;4,2,2,0-1;2-5,1,1,1,1,1
Er~o,structured_families_n_le_18,6,4,2,2,0;3,2,2,0-4;3-5,1,1,1,1,1
Es\o,structured_families_n_le_18,6,3,3,3,0;4;5,3,3,0-3;1-4;2-5,1,1,1,1,1
E~~w,geng_n_le_9,6,5,1,1,0,3,3,0-1;2-5;3-4,1,1,1,1,1
FCp`_,geng_n_le_9,7,2,3,3,2;3;4,3,3,0-3;1-4;2-5,1,1,1,1,1
FFzvO,geng_n_le_9,7,4,2,2,3;4,2,2,3-5;4-6,1,1,1,1,1
FUzro,geng_n_le_9,7,4,2,2,2;3,3,3,0-2;3-5;4-6,1,1,1,1,1
F~~~w,geng_n_le_9,7,6,1,1,0,3,3,0-1;2-5;3-4,1,1,1,1,1
G?qa`_,geng_n_le_9,8,2,3,3,2;4;6,3,3,0-4;2-5;3-6,1,1,1,1,1
G?zTb_,geng_n_le_9,8,3,2,2,2;5,3,3,0-5;2-4;3-7,1,1,1,1,1
G?~vf_,geng_n_le_9,8,4,4,4,0;1;2;3,4,4,0-6;1-4;2-7;3-5,1,1,1,1,1
GAnRDC,structured_families_n_le_18,8,3,2,2,2;5,3,3,0-5;2-6;3-4,1,1,1,1,1
GCXmd_,geng_n_le_9,8,3,2,2,0;4,3,3,0-6;2-7;4-5,1,1,1,1,1
GCY^B_,geng_n_le_9,8,3,3,3,0;1;2,3,3,0-5;1-6;2-7,1,1,1,1,1
GCZJd_,geng_n_le_9,8,3,2,2,3;4,3,3,0-3;1-5;2-4,1,1,1,1,1
GCrb`o,geng_n_le_9,8,3,3,3,2;3;4,3,3,0-3;1-5;2-7,1,1,1,1,1
GCzvbo,geng_n_le_9,8,4,2,2,3;4,3,3,0-5;3-6;4-7,1,1,1,1,1
GEnbvG,geng_n_le_9,8,4,2,2,0;6,3,3,0-5;2-7;3-6,1,1,1,1,1
GEnfbW,geng_n_le_9,8,4,2,2,1;4,3,3,0-5;2-7;3-6,1,1,1,1,1
GEsbLG,structured_families_n_le_18,8,3,2,2,1;7,3,3,0-7;1-4;2-6,1,1,1,1,1
GFzvvW,geng_n_le_9,8,5,2,2,3;4,3,3,0-4;1-7;2-3,1,1,1,1,1
GQyurg,geng_n_le_9,8,4,2,2,2;6,3,3,0-2;1-6;3-5,1,1,1,1,1
GQzTrg,geng_n_le_9,8,4,2,2,0;7,3,3,0-5;2-4;3-7,1,1,1,1,1
GQ~vvg,geng_n_le_9,8,5,2,2,0;1,3,3,0-2;1-4;3-5,1,1,1,1,1
GSNJAc,structured_families_n_le_18,8,3,3,3,0;4;7,3,3,0-3;1-6;2-4,1,1,1,1,1
GUzvrw,geng_n_le_9,8,5,2,2,3;4,3,3,0-4;3-6;5-7,1,1,1,1,1
GWtPcK,structured_families_n_le_18,8,3,3,3,0;1;6,3,3,0-4;2-6;3-5,1,1,1,1,1
G]~v~w,geng_n_le_9,8,6,2,2,0;1,3,3,0-4;1-3;2-5,1,1,1,1,1
GrO[PK,structured_families_n_le_18,8,3,2,2,2;4,3,3,0-2;1-4;5-7,1,1,1,1,1
Gr~v~w,structured_families_n_le_18,8,6,2,2,0;3,3,3,0-4;1-3;2-5,1,1,1,1,1
