candidate_type,formula,q,a,predictor,intercept,training_graphs,training_touches,n8_n9_min_slack,n8_n9_violations,first_n8_n9_witness,family_min_slack,family_violations,first_family_witness,status,literature_filter
affine_gamma,2*gamma <= 1*(n) +0,2,1,n,0,995,5,0,0,,0,0,,survived,not_checked; synthetic only
affine_gamma,3*gamma <= 1*(n) +3,3,1,n,3,995,2,-1,6,G?`@F_,-6,252,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,4*gamma <= 1*(n) +6,4,1,n,6,995,2,-2,197,G?`@F_,-12,648,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,2*gamma <= 1*(m) +1,2,1,m,1,995,3,0,0,,0,0,,survived,not_checked; synthetic only
affine_gamma,1*gamma <= 1*(Delta) +1,1,1,Delta,1,995,2,0,0,,-4,417,IQqA@?OA?,broken_families,not_checked; synthetic only
affine_gamma,1*gamma <= 2*(Delta) -1,1,2,Delta,-1,995,3,0,0,,-3,108,KCZCA?_C?O?_,broken_families,not_checked; synthetic only
affine_gamma,2*gamma <= 1*(Delta) +4,2,1,Delta,4,995,2,-1,28,G?`DE_,-9,1025,GU`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,2*gamma <= 3*(Delta) +0,2,3,Delta,0,995,2,0,0,,-7,251,IQqA@?OA?,broken_families,not_checked; synthetic only
affine_gamma,3*gamma <= 2*(Delta) +5,3,2,Delta,5,995,2,-1,28,G?`DE_,-13,895,GU`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,3*gamma <= 4*(Delta) +1,3,4,Delta,1,995,2,0,0,,-11,378,IQqA@?OA?,broken_families,not_checked; synthetic only
affine_gamma,4*gamma <= 3*(Delta) +6,4,3,Delta,6,995,2,-1,28,G?`DE_,-17,804,GU`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,1*gamma <= 1*(delta) +2,1,1,delta,2,995,38,-1,197,G?`@F_,-6,1394,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,1*gamma <= 2*(delta) +1,1,2,delta,1,995,38,-1,197,G?`@F_,-6,1390,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,1*gamma <= 3*(delta) +0,1,3,delta,0,995,38,-1,197,G?`@F_,-6,1390,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,1*gamma <= 4*(delta) -1,1,4,delta,-1,995,38,-1,197,G?`@F_,-6,1390,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,2*gamma <= 1*(delta) +5,2,1,delta,5,995,38,-2,197,G?`@F_,-12,1445,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,2*gamma <= 3*(delta) +3,2,3,delta,3,995,38,-2,197,G?`@F_,-12,1393,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,3*gamma <= 4*(delta) +5,3,4,delta,5,995,38,-3,197,G?`@F_,-18,1394,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,1*gamma <= 1*(alpha) +0,1,1,alpha,0,995,123,0,0,,0,0,,survived,not_checked; synthetic only
affine_gamma,1*gamma <= 2*(alpha) -1,1,2,alpha,-1,995,6,0,0,,0,0,,survived,not_checked; synthetic only
affine_gamma,1*gamma <= 3*(alpha) -2,1,3,alpha,-2,995,6,0,0,,0,0,,survived,not_checked; synthetic only
affine_gamma,1*gamma <= 4*(alpha) -3,1,4,alpha,-3,995,6,0,0,,0,0,,survived,not_checked; synthetic only
affine_gamma,2*gamma <= 1*(alpha) +3,2,1,alpha,3,995,23,-1,88,G?`@F_,-6,393,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,2*gamma <= 3*(alpha) -1,2,3,alpha,-1,995,6,0,0,,0,0,,survived,not_checked; synthetic only
affine_gamma,3*gamma <= 1*(alpha) +6,3,1,alpha,6,995,23,-2,197,G?`@F_,-12,898,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,3*gamma <= 2*(alpha) +3,3,2,alpha,3,995,23,-1,88,G?`@F_,-6,191,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,3*gamma <= 4*(alpha) -1,3,4,alpha,-1,995,6,0,0,,0,0,,survived,not_checked; synthetic only
affine_gamma,4*gamma <= 3*(alpha) +3,4,3,alpha,3,995,23,-1,88,G?`@F_,-6,170,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,1*gamma <= 1*(tau) +0,1,1,tau,0,995,59,0,0,,0,0,,survived,not_checked; synthetic only
affine_gamma,1*gamma <= 2*(tau) -1,1,2,tau,-1,995,6,0,0,,0,0,,survived,not_checked; synthetic only
affine_gamma,1*gamma <= 3*(tau) -2,1,3,tau,-2,995,6,0,0,,0,0,,survived,not_checked; synthetic only
affine_gamma,1*gamma <= 4*(tau) -3,1,4,tau,-3,995,6,0,0,,0,0,,survived,not_checked; synthetic only
affine_gamma,2*gamma <= 1*(tau) +3,2,1,tau,3,995,23,-1,115,G?`@F_,-6,1078,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,2*gamma <= 3*(tau) -1,2,3,tau,-1,995,6,0,0,,0,0,,survived,not_checked; synthetic only
affine_gamma,3*gamma <= 1*(tau) +6,3,1,tau,6,995,23,-2,197,G?`@F_,-12,1340,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,3*gamma <= 2*(tau) +3,3,2,tau,3,995,23,-1,115,G?`@F_,-6,755,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,3*gamma <= 4*(tau) -1,3,4,tau,-1,995,6,0,0,,0,0,,survived,not_checked; synthetic only
affine_gamma,4*gamma <= 3*(tau) +3,4,3,tau,3,995,23,-1,115,G?`@F_,-6,599,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,3*gamma <= 1*(n+Delta) +0,3,1,n+Delta,0,995,7,-1,2,G?`DE_,-3,98,GU`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,4*gamma <= 1*(n+Delta) +3,4,1,n+Delta,3,995,4,-2,32,G?`@F_,-8,452,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,2*gamma <= 1*(n+delta) -1,2,1,n+delta,-1,995,4,0,0,,0,0,,survived,not_checked; synthetic only
affine_gamma,3*gamma <= 1*(n+delta) +2,3,1,n+delta,2,995,2,-1,6,G?`@F_,-6,252,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,4*gamma <= 1*(n+delta) +5,4,1,n+delta,5,995,2,-2,197,G?`@F_,-12,648,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,1*gamma <= 1*(alpha+delta) -1,1,1,alpha+delta,-1,995,29,0,0,,0,0,,survived,not_checked; synthetic only
affine_gamma,2*gamma <= 1*(alpha+delta) +2,2,1,alpha+delta,2,995,18,-1,88,G?`@F_,-6,387,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,3*gamma <= 1*(alpha+delta) +5,3,1,alpha+delta,5,995,18,-2,197,G?`@F_,-12,844,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,3*gamma <= 2*(alpha+delta) +1,3,2,alpha+delta,1,995,18,-1,88,G?`@F_,-6,188,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,4*gamma <= 3*(alpha+delta) +0,4,3,alpha+delta,0,995,18,-1,88,G?`@F_,-6,168,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,1*gamma <= 1*(tau+delta) -1,1,1,tau+delta,-1,995,54,0,0,,0,0,,survived,not_checked; synthetic only
affine_gamma,1*gamma <= 2*(tau+delta) -3,1,2,tau+delta,-3,995,6,0,0,,0,0,,survived,not_checked; synthetic only
affine_gamma,1*gamma <= 3*(tau+delta) -5,1,3,tau+delta,-5,995,6,0,0,,0,0,,survived,not_checked; synthetic only
affine_gamma,2*gamma <= 1*(tau+delta) +2,2,1,tau+delta,2,995,22,-1,115,G?`@F_,-6,1078,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,2*gamma <= 3*(tau+delta) -4,2,3,tau+delta,-4,995,6,0,0,,0,0,,survived,not_checked; synthetic only
affine_gamma,3*gamma <= 1*(tau+delta) +5,3,1,tau+delta,5,995,22,-2,197,G?`@F_,-12,1338,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,3*gamma <= 2*(tau+delta) +1,3,2,tau+delta,1,995,22,-1,115,G?`@F_,-6,755,GF`@?_,broken_n8_n9,not_checked; synthetic only
affine_gamma,3*gamma <= 4*(tau+delta) -5,3,4,tau+delta,-5,995,6,0,0,,0,0,,survived,not_checked; synthetic only
affine_gamma,4*gamma <= 3*(tau+delta) +0,4,3,tau+delta,0,995,22,-1,115,G?`@F_,-6,599,GF`@?_,broken_n8_n9,not_checked; synthetic only
ratio_total,1*gamma_t <= 2*gamma,1,2,gamma,0,995,221,0,0,,0,0,,survived,known classical: gamma_t <= 2 gamma; excluded from fresh list
ratio_independent,2*independent_domination <= 3*gamma,2,3,gamma,0,995,44,-2,247,G??F?{,-12,150,Gs`zro,broken_n8_n9,not_checked; synthetic only
